"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"63680099999","2017-01-08T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0296,1","+0152,1","99999,9",,,,"03,1,+04500,1,03,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,04500,1,99,9,99,9","240,M,+0324,1",,,,,"SYN08063680 32560 31102 10296 20152 3//// 48/// 80040 333 10324 5//// 83365 555 10200=",
"63680099999","2017-01-09T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0214,1","+0184,1","99999,9",,"4,1,02,1","4,1,02,1","00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,N,+0186,1",,,"05,1",,"SYN08663680 31830 00000 10214 20184 3//// 48/// 70544 80000 333 20186 55076 5//// 555 10194=",
"63680099999","2017-01-09T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","310,1,N,0010,1","99999,9,9,N","006000,1,9,9","+0268,1","+0146,1","99999,9",,,,"00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,N,+0186,1",,,,,"SYN06863680 32856 03102 10268 20146 48/// 80000 333 20186 55076 555 10190=",
"63680099999","2017-01-09T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","009000,1,9,9","+9999,9","+9999,9","99999,9",,,,"01,1,+00810,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00810,1,99,9,99,9",,,,,,"SYN06863680 32559 13402 10144 3//// 48/// 81800 333 5//// 81827 555 10200=","Q0114.4  3ATOT  "
"63680099999","2017-01-09T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","170,1,N,0021,1","99999,9,9,N","009000,1,9,9","+0280,1","+0169,1","99999,9",,,,"02,1,+00720,1,08,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00720,1,99,9,99,9","240,M,+0326,1",,,,,"SYN08063680 32559 21704 10280 20169 3//// 48/// 82800 333 10326 5//// 82824 555 10206=",
"63680099999","2017-01-10T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0215,1","+0208,1","99999,9",,"4,1,02,1","4,1,02,1","00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,N,+0187,1",,,"05,1",,"SYN07063680 32830 00000 10215 20208 48/// 70544 80000 333 20187 55091 10210=",
"63680099999","2017-01-10T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","280,1,N,0010,1","99999,9,9,N","007000,1,9,9","+0280,1","+0153,1","99999,9",,,,"03,1,+00690,1,08,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00690,1,99,9,99,9",,,,,,"SYN06263680 32557 32802 10280 20153 48/// 83000 333 83823 555 10195=",
"63680099999","2017-01-10T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","180,1,N,0036,1","99999,9,9,N","009000,1,9,9","+0285,1","+0168,1","99999,9",,,,"04,1,+00720,1,08,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00720,1,99,9,99,9",,,,,,"SYN06263680 32559 41807 10285 20168 48/// 84000 333 84824 555 10207=",
"63680099999","2017-01-10T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","009000,1,9,9","+0260,1","+0200,1","99999,9",,,,"99,9,+00600,1,02,1",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,M,+0308,1",,,,,"SYN05863680 32859 01804 10260 20200 48/// 80000 333 10308 80220=","Q01 006003SCOLCBQ02    003SCCGA1"
"63680099999","2017-01-11T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","003000,1,9,9","+0208,1","+0166,1","99999,9",,"4,1,02,1","4,1,02,1","04,1,+00540,1,06,1","01,1,+00600,1,09,1","06,1,+03000,1,03,1",,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00540,1,99,9,99,9","240,N,+0194,1",,,"05,1",,"SYN10463680 31430 60000 10208 20166 3//// 48/// 70544 8497/ 333 20194 55081 5//// 84618 81920 86360 555 10180=",
